service_id,date,exception_type
LAB,20181101,2
FES,20181101,1
LAB,20181206,2
FES,20181206,1
SAB,20181208,2
FES,20181208,1
LAB,20181225,2
FES,20181225,1
LAB,20190101,2
FES,20190101,1
LAB,20190624,2
FES,20190624,1
LAB,20190319,2
FES,20190319,1
LAB,20190419,2
FES,20190419,1
LAB,20190422,2
FES,20190422,1
LAB,20190429,2
FES,20190429,1
LAB,20190501,2
FES,20190501,1
LAB,20190815,2
FES,20190815,1
LAB,20191009,2
FES,20191009,1
SAB,20191012,2
FES,20191012,1
LAB,20191101,2
FES,20191101,1
LAB,20191206,2
FES,20191206,1
LAB,20191225,2
FES,20191225,1
LAB,20190122,2
FES,20190122,1
NLAB,20181224,2
NFES,20181224,1
NLAB,20181231,2
NFES,20181231,1
NLAB,20190623,2
NFES,20190623,1
NLAB,20190318,2
NFES,20190318,1
NLAB,20190421,2
NFES,20190421,1
NLAB,20190428,2
NFES,20190428,1
NLAB,20190430,2
NFES,20190430,1
NLAB,20191008,2
NFES,20191008,1
NLAB,20191224,2
NFES,20191224,1
NLAB,20190121,2
NFES,20190121,1
