trip_id,start_time,end_time,headway_secs
831D2I,7:12:00,7:55:00,2580
831D2I,7:55:00,8:17:00,1320
831D2I,8:17:00,8:40:00,1380
831D2I,8:40:00,9:03:00,1380
831D2I,9:03:00,9:22:00,1140
831D2I,9:22:00,22:20:00,784
831D2V,6:50:00,7:33:00,2580
831D2V,7:33:00,7:55:00,1320
831D2V,7:55:00,8:17:00,1320
831D2V,8:17:00,8:39:00,1320
831D2V,8:39:00,8:58:00,1140
831D2V,8:58:00,22:15:00,766
831D0I,5:55:00,6:23:00,1680
831D0I,6:23:00,6:40:00,1020
831D0I,6:40:00,8:01:00,608
831D0I,8:01:00,21:14:00,476
831D0I,21:14:00,21:50:00,720
831D0I,21:50:00,22:25:00,900
831D0V,5:30:00,6:00:00,1800
831D0V,6:00:00,6:17:00,1020
831D0V,6:17:00,6:54:00,740
831D0V,6:54:00,20:20:00,474
831D0V,20:20:00,22:15:00,600
831D1I,5:55:00,6:39:00,2640
831D1I,6:39:00,7:23:00,2640
831D1I,7:23:00,7:48:00,1500
831D1I,7:48:00,8:08:00,1200
831D1I,8:08:00,22:25:00,750
831D1V,5:30:00,6:17:00,2820
831D1V,6:17:00,7:01:00,2640
831D1V,7:01:00,7:25:00,1440
831D1V,7:25:00,7:45:00,1200
831D1V,7:45:00,22:15:00,733
843D2I,7:30:00,8:05:00,2100
843D2I,8:05:00,8:30:00,1500
843D2I,8:30:00,8:55:00,1500
843D2I,8:55:00,9:15:00,1200
843D2I,9:15:00,21:35:00,964
843D2I,21:35:00,21:57:00,1320
843D2I,21:57:00,22:20:00,1380
843D2V,7:40:00,8:08:00,1680
843D2V,8:08:00,8:35:00,1620
843D2V,8:35:00,8:56:00,1260
843D2V,8:56:00,9:18:00,1320
843D2V,9:18:00,9:39:00,1260
843D2V,9:39:00,10:01:00,1320
843D2V,10:01:00,10:23:00,1320
843D2V,10:23:00,10:45:00,1320
843D2V,10:45:00,11:06:00,1260
843D2V,11:06:00,11:25:00,1140
843D2V,11:25:00,21:55:00,943
843D2V,21:55:00,22:20:00,1500
843D0I,6:30:00,6:45:00,900
843D0I,6:45:00,20:50:00,596
843D0I,20:50:00,22:20:00,1050
843D0V,6:30:00,6:45:00,900
843D0V,6:45:00,21:24:00,613
843D0V,21:24:00,22:25:00,860
843D1I,7:00:00,7:25:00,1500
843D1I,7:25:00,7:50:00,1500
843D1I,7:50:00,8:10:00,1200
843D1I,8:10:00,21:05:00,968
843D1I,21:05:00,21:30:00,1500
843D1I,21:30:00,21:55:00,1500
843D1I,21:55:00,22:20:00,1500
843D1V,7:00:00,7:38:00,2280
843D1V,7:38:00,8:05:00,1620
843D1V,8:05:00,8:21:00,960
843D1V,8:21:00,21:33:00,986
843D1V,21:33:00,21:55:00,1320
843D1V,21:55:00,22:20:00,1500
818D2I,7:10:00,8:01:00,3060
818D2I,8:01:00,8:27:00,1560
818D2I,8:27:00,8:43:00,960
818D2I,8:43:00,22:00:00,880
818D2V,6:45:00,7:35:00,3000
818D2V,7:35:00,8:00:00,1500
818D2V,8:00:00,8:15:00,900
818D2V,8:15:00,22:15:00,896
818D0I,6:15:00,6:43:00,1680
818D0I,6:43:00,7:12:00,1740
818D0I,7:12:00,7:27:00,900
818D0I,7:27:00,22:00:00,543
818D0V,5:50:00,6:15:00,1500
818D0V,6:15:00,6:40:00,1500
818D0V,6:40:00,6:54:00,840
818D0V,6:54:00,22:15:00,549
818D1I,6:30:00,7:00:00,1800
818D1I,7:00:00,7:27:00,1620
818D1I,7:27:00,7:54:00,1620
818D1I,7:54:00,8:20:00,1560
818D1I,8:20:00,8:36:00,960
